ID,Date,Tweet Link,Negative Words,Positive Words,Attached URL,Negative Words,Positive Words
36,2022-01-18,https://twitter.com/FoxNews/status/1483500275461722117,0,1,https://www.foxnews.com/politics/greg-murphy-letter-nih-covid-lockdowns,66,34
37,2022-01-18,https://twitter.com/FoxNews/status/1483479928842694658,1,0,https://www.foxnews.com/us/arkansas-inmates-sue-ivermectin-covid-19,45,21
38,2022-01-17,https://twitter.com/FoxNews/status/1483240759402762241,5,0,https://www.foxnews.com/us/covid-colleges,52,31
39,2022-01-17,https://twitter.com/FoxNews/status/1483220987747307524,4,2,https://www.foxnews.com/media/cdc-rochelle-walensky-wall-street-journal-interview,54,26
40,2022-01-17,https://twitter.com/FoxNews/status/1483198202572513281,3,2,https://www.foxnews.com/politics/midwest-hospital-chain-race-based-covid-19-antibody-treatment,57,29
41,2022-01-17,https://twitter.com/FoxNews/status/1483155913783398400,1,2,https://www.foxnews.com/politics/midwest-hospital-chain-race-based-covid-19-antibody-treatment,57,29
42,2022-01-17,https://twitter.com/FoxNews/status/1483121952172634112,3,1,https://www.foxnews.com/politics/joint-chiefs-chairman-mark-milley-tests-positive-for-covid-19-very-minor-symptoms,35,20
43,2022-01-17,https://twitter.com/FoxNews/status/1483038894010605569,0,0,https://www.foxnews.com/us/minnesota-removes-race-as-a-factor-for-covid-treatment-eligibility-after-pressure,41,27
44,2022-01-15,https://twitter.com/FoxNews/status/1482540610087120897,2,1,https://www.foxnews.com/politics/biden-rule-free-covid-tests-insurers,47,32
45,2022-01-15,https://twitter.com/FoxNews/status/1482517962825236483,0,0,https://www.foxnews.com/sports/clap-dont-chant-china-aims-zero-covid-olympics,53,30
46,2022-01-15,https://twitter.com/FoxNews/status/1482483986429472776,3,0,https://www.foxnews.com/health/americans-suffer-covid-somnia-sleep-insomnia,74,31
47,2022-01-15,https://twitter.com/FoxNews/status/1482363718746791942,4,0,https://www.foxnews.com/health/fema-administrator-covid-testing-agencys-role-not-changed,36,25
48,2022-01-15,https://twitter.com/FoxNews/status/1482268819166957572,2,1,https://www.foxnews.com/us/chicago-public-schools-students-walk-out-demanding-remote-classes-for-two-weeks-and-covid-19-stipends,51,34
49,2022-01-15,https://twitter.com/FoxNews/status/1482253719861297152,0,2,https://www.foxnews.com/sports/novak-djokovic-australian-visa-cancellation-covid-19-vaccine,34,27
50,2022-01-14,https://twitter.com/FoxNews/status/1482163800287727624,5,1
51,2022-01-14,https://twitter.com/FoxNews/status/1482155576977154050,3,0,https://www.foxnews.com/us/schools-parents-recruit-substitute-teachers-shortages-covid,45,26
52,2022-01-14,https://twitter.com/FoxNews/status/1482130154994475010,2,0,https://www.foxnews.com/us/federal-covid-testing-website-launches,51,27
53,2022-01-14,https://twitter.com/FoxNews/status/1482087626706411520,3,6,https://www.foxnews.com/media/sunny-hostin-upreme-court-covid-view,48,30
54,2022-01-14,https://twitter.com/FoxNews/status/1482047359664201733,1,0,https://www.foxnews.com/health/thousands-covid-tests-ordered-national-guard-deploy,43,34
55,2022-01-14,https://twitter.com/FoxNews/status/1481884033344806912,0,1,https://www.foxnews.com/us/texas-judge-probable-cause-mom-covid-positive-son-trunk,39,20
56,2022-01-14,https://twitter.com/FoxNews/status/1481861887243390977,2,1,https://www.foxnews.com/us/scientists-detect-covid-19-wastewater-weeks-before-anyone-tests-positive,37,22
57,2022-01-13,https://twitter.com/FoxNews/status/1481819608910761985,3,1,https://www.foxnews.com/us/chicago-radical-students-plan-school-walkout-demand-covid-stipends-and-two-weeks-remote-learning,42,30
58,2022-01-13,https://twitter.com/FoxNews/status/1481813317068812291,2,1,https://www.foxnews.com/politics/whitmer-admin-undercounted-michigan-nursing-home-covid-deaths,84,39
59,2022-01-13,https://twitter.com/FoxNews/status/1481812058882469891,0,1,https://www.foxnews.com/politics/white-house-says-380-of-500-million-covid-18-tests-have-been-procured,44,33
